t0,t1,mbps,retx,cwnd_kb
290.004065,295.004057,2.306870940006063,0,0.0
295.004057,300.004065,2.5165783200066145,0,0.0
300.004065,305.004065,2.5165824,0,0.0
305.004065,310.004065,2.097152,0,0.0
310.004065,315.004064,2.5165828800000916,0,0.0
315.004064,320.004062,2.516583360000366,0,0.0
320.004062,325.004063,2.5165819200000916,0,0.0
325.004063,330.004063,2.5165824,0,0.0
330.004063,335.004064,2.5165819200000916,0,0.0
335.004064,340.004065,2.5165819200000916,0,0.0
340.004065,345.004062,2.5165838400008242,0,0.0
345.004062,350.004065,2.726296040000893,0,0.0
350.004065,355.004057,2.5165864800066147,0,0.0
355.004057,360.004062,2.5165800000022887,0,0.0
360.004062,365.004059,2.726299160000893,0,0.0
365.004059,370.004062,2.306865880000755,0,0.0
370.004062,375.004063,2.726297080000099,0,0.0
375.004063,380.004058,2.516584800002289,0,0.0
380.004058,385.00406,2.5165814400003663,0,0.0
385.00406,390.004062,2.7262965600003968,0,0.0
390.004062,395.004058,2.516584320001465,0,0.0
395.004058,400.004059,2.726297080000099,0,0.0
400.004059,405.004069,2.726292140010935,0,0.0
405.004069,410.005035,2.7257709417579647,0,0.0
410.005035,415.003875,2.726930326810945,0,0.0
415.003875,420.005031,2.516000774454758,0,0.0
420.005031,425.005028,2.5165838400008242,0,0.0
425.005028,430.005028,2.9360128,0,0.0
430.005028,435.003932,2.7268952109690483,0,0.0
435.003932,440.005023,2.51603339979222,0,0.0
440.005023,445.005026,2.726296040000893,0,0.0
445.005026,450.005039,2.726290580018076,0,0.0
450.005039,455.003887,2.7269259047662655,0,0.0
455.003887,460.00503,2.7256745224328736,0,0.0
460.00503,465.005026,2.726299680001587,0,0.0
465.005026,470.005067,2.5165617601692802,0,0.0
470.005067,475.00391,2.517164774739028,0,0.0
475.00391,480.005021,2.5160233242300554,0,0.0
480.005021,485.005022,2.726297080000099,0,0.0
485.005022,490.005014,2.5165864800066147,0,0.0
490.005014,495.003873,2.93668299294759,0,0.0
495.003873,500.005083,2.725637879680383,0,0.0
500.005083,505.005023,2.726330360393659,0,0.0
505.005023,510.005044,2.7262861600480037,0,0.0
510.005044,515.003876,2.7269344887484497,0,0.0
515.003876,520.004154,2.72614602842726,0,0.0
520.004154,525.005076,2.725794852727015,0,0.0
525.005076,530.005032,2.9360385602260153,0,0.0
530.005032,535.003899,2.7269155000118284,0,0.0
535.003899,540.00406,2.9359181630505455,0,0.0
540.00406,545.00406,3.145728,0,0.0
545.00406,550.004158,2.726244041052203,0,0.0
550.004158,555.003872,3.355635210986957,0,0.0
555.003872,560.004062,2.9359013642296823,0,0.0
560.004062,565.004061,2.726298120000099,0,0.0
565.004061,570.004062,2.726297080000099,0,0.0
570.004062,575.004058,2.516584320001465,0,0.0
575.004058,580.004061,2.726296040000893,0,0.0
580.004061,585.004064,2.516580960000824,0,0.0
585.004064,590.004065,2.5165819200000916,0,0.0
590.004065,595.004059,2.936016440004513,0,0.0
595.004059,600.004066,2.726293700005579,0,0.0
